Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,1/10/2017 10:00,2017,1,10,10,14,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 11:00,2017,1,10,11,17,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 12:00,2017,1,10,12,12,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 13:00,2017,1,10,13,16,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 14:00,2017,1,10,14,3,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 15:00,2017,1,10,15,22,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 16:00,2017,1,10,16,19,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 17:00,2017,1,10,17,28,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 18:00,2017,1,10,18,28,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 19:00,2017,1,10,19,42,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 20:00,2017,1,10,20,53,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 21:00,2017,1,10,21,57,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 22:00,2017,1,10,22,70,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 23:00,2017,1,10,23,78,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 0:00,2017,1,11,0,81,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 1:00,2017,1,11,1,87,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 2:00,2017,1,11,2,26,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 3:00,2017,1,11,3,20,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 4:00,2017,1,11,4,23,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 5:00,2017,1,11,5,19,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 6:00,2017,1,11,6,12,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 7:00,2017,1,11,7,143,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 8:00,2017,1,11,8,116,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 9:00,2017,1,11,9,104,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 10:00,2017,1,11,10,100,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 11:00,2017,1,11,11,66,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 12:00,2017,1,11,12,33,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 13:00,2017,1,11,13,43,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 14:00,2017,1,11,14,37,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 15:00,2017,1,11,15,43,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 16:00,2017,1,11,16,40,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 17:00,2017,1,11,17,48,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 18:00,2017,1,11,18,51,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 19:00,2017,1,11,19,64,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 20:00,2017,1,11,20,82,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 21:00,2017,1,11,21,77,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 22:00,2017,1,11,22,104,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 23:00,2017,1,11,23,114,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/12/2017 0:00,2017,1,12,0,102,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/12/2017 1:00,2017,1,12,1,75,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/12/2017 2:00,2017,1,12,2,52,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/12/2017 3:00,2017,1,12,3,27,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/12/2017 4:00,2017,1,12,4,8,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/12/2017 5:00,2017,1,12,5,25,?g/m?,1 Hr,Valid
